"Series Code","Country or Area Code","Country or Area","Year","Value"
"SF6","1","Australia","2020","90.901778076396"
"SF6","1","Australia","2019","136.861720197132"
"SF6","1","Australia","2018","145.265399822976"
"SF6","1","Australia","2017","115.357166950272"
"SF6","1","Australia","2016","117.125146366224"
"SF6","1","Australia","2015","116.17215576402"
"SF6","1","Australia","2014","105.63313448376"
"SF6","1","Australia","2013","108.169917185976"
"SF6","1","Australia","2012","114.98058539706"
"SF6","1","Australia","2011","118.155119885928"
"SF6","1","Australia","2010","129.809129163312"
"SF6","1","Australia","2009","146.99300178048"
"SF6","1","Australia","2008","163.324544933376"
"SF6","1","Australia","2007","175.12764878244"
"SF6","1","Australia","2006","186.068678687772"
"SF6","1","Australia","2005","196.215512499732"
"SF6","1","Australia","2004","230.664605103036"
"SF6","1","Australia","2003","229.114229424252"
"SF6","1","Australia","2002","225.095302791336"
"SF6","1","Australia","2001","218.795715845796"
"SF6","1","Australia","2000","212.426823897804"
"SF6","1","Australia","1999","211.289024822616"
"SF6","1","Australia","1998","240.20739509454"
"SF6","1","Australia","1997","266.773058813088"
"SF6","1","Australia","1996","289.097823057288"
"SF6","1","Australia","1995","316.214949739716"
"SF6","1","Australia","1994","295.606353272172"
"SF6","1","Australia","1993","276.868544891196"
"SF6","1","Australia","1992","258.112168812888"
"SF6","1","Australia","1991","239.342085079776"
"SF6","1","Australia","1990","220.559694348984"
"SF6","2","Austria","2020","438.625229828076"
"SF6","2","Austria","2019","436.418111511672"
"SF6","2","Austria","2018","386.323323738564"
"SF6","2","Austria","2017","399.929742249552"
"SF6","2","Austria","2016","392.836842522084"
"SF6","2","Austria","2015","309.547027502328"
"SF6","2","Austria","2014","313.983384632664"
"SF6","2","Austria","2013","305.320444501608"
"SF6","2","Austria","2012","311.879243598348"
"SF6","2","Austria","2011","307.348685361924"
"SF6","2","Austria","2010","335.87064445278"
"SF6","2","Austria","2009","341.678631780648"
"SF6","2","Austria","2008","373.434481907496"
"SF6","2","Austria","2007","367.006656851244"
"SF6","2","Austria","2006","453.462446283864"
"SF6","2","Austria","2005","493.62501427176"
"SF6","2","Austria","2004","484.006603106436"
"SF6","2","Austria","2003","549.44274524346"
"SF6","2","Austria","2002","613.300884015108"
"SF6","2","Austria","2001","629.325706574268"
"SF6","2","Austria","2000","574.528063982544"
"SF6","2","Austria","1999","676.368455025876"
"SF6","2","Austria","1998","869.88236663436"
"SF6","2","Austria","1997","1086.39697412542"
"SF6","2","Austria","1996","1176.89967521624"
"SF6","2","Austria","1995","1100.10771326827"
"SF6","2","Austria","1994","926.173535760612"
"SF6","2","Austria","1993","744.00313185318"
"SF6","2","Austria","1992","656.27178714552"
"SF6","2","Austria","1991","614.14044243786"
"SF6","2","Austria","1990","470.6083777302"
"SF6","3","Belarus","2020","10.525250184"
"SF6","3","Belarus","2019","9.6662489892"
"SF6","3","Belarus","2018","6.4715529348"
"SF6","3","Belarus","2017","6.0903573864"
"SF6","3","Belarus","2016","6.096711564"
"SF6","3","Belarus","2015","6.046124976"
"SF6","3","Belarus","2014","5.9714370096"
"SF6","3","Belarus","2013","6.1897041456"
"SF6","3","Belarus","2012","6.2731776816"
"SF6","3","Belarus","2011","6.2511100176"
"SF6","3","Belarus","2010","6.1791103536"
"SF6","3","Belarus","2009","5.6691340896"
"SF6","3","Belarus","2008","5.6039630256"
"SF6","3","Belarus","2007","5.0262593616"
"SF6","3","Belarus","2006","5.0651816976"
"SF6","3","Belarus","2005","5.09352"
"SF6","3","Belarus","2004","4.984764"
"SF6","3","Belarus","2003","4.90485"
"SF6","3","Belarus","2002","4.858224"
"SF6","3","Belarus","2001","4.8507"
"SF6","3","Belarus","2000","4.83702"
"SF6","3","Belarus","1999","4.828812"
"SF6","3","Belarus","1998","4.806354"
"SF6","3","Belarus","1997","4.797462"
"SF6","3","Belarus","1996","4.751292"
"SF6","3","Belarus","1995","4.74183"
"SF6","4","Belgium","2020","90.546237297984"
"SF6","4","Belgium","2019","88.051658971704"
"SF6","4","Belgium","2018","94.860546848892"
"SF6","4","Belgium","2017","101.505139148616"
"SF6","4","Belgium","2016","97.478787859404"
"SF6","4","Belgium","2015","92.6342335839"
"SF6","4","Belgium","2014","95.23104624606"
"SF6","4","Belgium","2013","117.320051192436"
"SF6","4","Belgium","2012","111.359821671948"
"SF6","4","Belgium","2011","109.337839359876"
"SF6","4","Belgium","2010","104.952674561556"
"SF6","4","Belgium","2009","93.521440209084"
"SF6","4","Belgium","2008","87.480901098792"
"SF6","4","Belgium","2007","79.418082598356"
"SF6","4","Belgium","2006","77.176027437708"
"SF6","4","Belgium","2005","91.042423278384"
"SF6","4","Belgium","2004","90.552522826608"
"SF6","4","Belgium","2003","102.283121529972"
"SF6","4","Belgium","2002","116.583288594324"
"SF6","4","Belgium","2001","139.51719134976"
"SF6","4","Belgium","2000","144.395850295272"
"SF6","4","Belgium","1999","153.924465812916"
"SF6","4","Belgium","1998","296.210988329232"
"SF6","4","Belgium","1997","539.111026422564"
"SF6","4","Belgium","1996","2059.88626648042"
"SF6","4","Belgium","1995","2139.99553071443"
"SF6","4","Belgium","1994","1978.00153071443"
"SF6","4","Belgium","1993","1635.72793071443"
"SF6","4","Belgium","1992","1699.88713071443"
"SF6","4","Belgium","1991","1540.03633071443"
"SF6","4","Belgium","1990","1622.29873071443"
"SF6","5","Bulgaria","2020","19.840142409564"
"SF6","5","Bulgaria","2019","18.261423065364"
"SF6","5","Bulgaria","2018","17.992591130868"
"SF6","5","Bulgaria","2017","17.513936901528"
"SF6","5","Bulgaria","2016","18.747248217552"
"SF6","5","Bulgaria","2015","18.065559334536"
"SF6","5","Bulgaria","2014","16.877758121304"
"SF6","5","Bulgaria","2013","20.419376492784"
"SF6","5","Bulgaria","2012","16.095634023048"
"SF6","5","Bulgaria","2011","16.966935798924"
"SF6","5","Bulgaria","2010","18.76000333122"
"SF6","5","Bulgaria","2009","9.51519974388"
