"Series Code","Country or Area Code","Country or Area","Year","Value"
"HFC","1","Australia","2020","11564.3875315886"
"HFC","1","Australia","2019","11285.3103255569"
"HFC","1","Australia","2018","10443.9463804196"
"HFC","1","Australia","2017","10476.3415614427"
"HFC","1","Australia","2016","10248.9823086957"
"HFC","1","Australia","2015","9844.64205325769"
"HFC","1","Australia","2014","9293.00099755006"
"HFC","1","Australia","2013","8566.91307950701"
"HFC","1","Australia","2012","8207.61740624672"
"HFC","1","Australia","2011","7817.91760310685"
"HFC","1","Australia","2010","7070.97275393972"
"HFC","1","Australia","2009","6446.18693658071"
"HFC","1","Australia","2008","5568.86334972443"
"HFC","1","Australia","2007","4957.94183953939"
"HFC","1","Australia","2006","4271.69971448926"
"HFC","1","Australia","2005","3859.00872271506"
"HFC","1","Australia","2004","3185.09900031307"
"HFC","1","Australia","2003","2647.35431755219"
"HFC","1","Australia","2002","2112.14652059314"
"HFC","1","Australia","2001","1685.15650770761"
"HFC","1","Australia","2000","1252.65710130975"
"HFC","1","Australia","1999","985.274631867224"
"HFC","1","Australia","1998","660.920603864741"
"HFC","1","Australia","1997","464.72504957274"
"HFC","1","Australia","1996","278.039529290483"
"HFC","1","Australia","1995","1018.65477684092"
"HFC","1","Australia","1994","1028.12333203718"
"HFC","1","Australia","1993","1829.872"
"HFC","1","Australia","1992","1333.184"
"HFC","1","Australia","1991","1424.68352"
"HFC","1","Australia","1990","1424.68352"
"HFC","2","Austria","2020","1756.58524108168"
"HFC","2","Austria","2019","1851.02948326483"
"HFC","2","Austria","2018","1965.74292819456"
"HFC","2","Austria","2017","1893.86793299601"
"HFC","2","Austria","2016","1870.56687549904"
"HFC","2","Austria","2015","1856.4480958289"
"HFC","2","Austria","2014","1727.44373988958"
"HFC","2","Austria","2013","1628.74657045518"
"HFC","2","Austria","2012","1528.17563183529"
"HFC","2","Austria","2011","1435.2767764848"
"HFC","2","Austria","2010","1329.22491807366"
"HFC","2","Austria","2009","1207.27041550879"
"HFC","2","Austria","2008","1111.38176523873"
"HFC","2","Austria","2007","1073.5721467535"
"HFC","2","Austria","2006","1035.86022572038"
"HFC","2","Austria","2005","1047.0597267695"
"HFC","2","Austria","2004","1053.64733877675"
"HFC","2","Austria","2003","995.802736670266"
"HFC","2","Austria","2002","934.795933170561"
"HFC","2","Austria","2001","806.645969473713"
"HFC","2","Austria","2000","682.367092972299"
"HFC","2","Austria","1999","684.82877503311"
"HFC","2","Austria","1998","594.129116031378"
"HFC","2","Austria","1997","502.779115612031"
"HFC","2","Austria","1996","419.531621003943"
"HFC","2","Austria","1995","350.747867111609"
"HFC","2","Austria","1994","257.774055883104"
"HFC","2","Austria","1993","234.871099046547"
"HFC","2","Austria","1992","5.63091088563851"
"HFC","2","Austria","1991","3.88944"
"HFC","2","Austria","1990","2.43756"
"HFC","3","Belarus","2020","200.983288509603"
"HFC","3","Belarus","2019","191.013619144468"
"HFC","3","Belarus","2018","187.162413503014"
"HFC","3","Belarus","2017","179.01650835958"
"HFC","3","Belarus","2016","172.383674933972"
"HFC","3","Belarus","2015","164.421870722719"
"HFC","3","Belarus","2014","146.730891892745"
"HFC","3","Belarus","2013","125.710308045944"
"HFC","3","Belarus","2012","113.040559204439"
"HFC","3","Belarus","2011","89.8816930652739"
"HFC","3","Belarus","2010","80.6339305117989"
"HFC","3","Belarus","2009","65.2659213591289"
"HFC","3","Belarus","2008","53.1248379812489"
"HFC","3","Belarus","2007","45.8702725374289"
"HFC","3","Belarus","2006","37.8984476689909"
"HFC","3","Belarus","2005","33.7942120199449"
"HFC","3","Belarus","2004","29.1449901723952"
"HFC","3","Belarus","2003","19.8237158712564"
"HFC","3","Belarus","2002","16.4126478782707"
