"Series Code","Country or Area Code","Country or Area","Year","Value"
"PFC","1","Australia","2020","270.31474297"
"PFC","1","Australia","2019","303.14201916"
"PFC","1","Australia","2018","236.00270391"
"PFC","1","Australia","2017","202.62553668"
"PFC","1","Australia","2016","224.924133892"
"PFC","1","Australia","2015","171.323657071029"
"PFC","1","Australia","2014","192.535990598746"
"PFC","1","Australia","2013","192.001235884438"
"PFC","1","Australia","2012","294.882946981773"
"PFC","1","Australia","2011","301.304839525102"
"PFC","1","Australia","2010","283.315234628066"
"PFC","1","Australia","2009","358.551981149097"
"PFC","1","Australia","2008","444.516693559401"
"PFC","1","Australia","2007","582.676819046088"
"PFC","1","Australia","2006","687.059841760489"
"PFC","1","Australia","2005","1791.70111972472"
"PFC","1","Australia","2004","1713.84870550831"
"PFC","1","Australia","2003","1683.98477494731"
"PFC","1","Australia","2002","1727.62315282097"
"PFC","1","Australia","2001","1801.88197415979"
"PFC","1","Australia","2000","1287.06178871158"
"PFC","1","Australia","1999","1139.05875745416"
"PFC","1","Australia","1998","1660.51882000668"
"PFC","1","Australia","1997","1228.1508980875"
"PFC","1","Australia","1996","1410.39505848126"
"PFC","1","Australia","1995","1530.83566492632"
"PFC","1","Australia","1994","2164.42874878371"
"PFC","1","Australia","1993","3315.52837602798"
"PFC","1","Australia","1992","4603.282544266"
"PFC","1","Australia","1991","4610.74329393256"
"PFC","1","Australia","1990","4607.01291909928"
"PFC","2","Austria","2020","29.89089"
"PFC","2","Austria","2019","38.44537"
"PFC","2","Austria","2018","32.5187"
"PFC","2","Austria","2017","44.08975"
"PFC","2","Austria","2016","50.39009"
"PFC","2","Austria","2015","49.549343"
"PFC","2","Austria","2014","53.028514"
"PFC","2","Austria","2013","49.22899"
"PFC","2","Austria","2012","50.715244"
"PFC","2","Austria","2011","73.51273"
"PFC","2","Austria","2010","78.048961"
"PFC","2","Austria","2009","36.02206"
"PFC","2","Austria","2008","208.1864855"
"PFC","2","Austria","2007","230.332465"
"PFC","2","Austria","2006","172.3869125"
"PFC","2","Austria","2005","163.2852"
"PFC","2","Austria","2004","157.57325"
"PFC","2","Austria","2003","126.38302"
"PFC","2","Austria","2002","101.974977939939"
"PFC","2","Austria","2001","116.337427939939"
"PFC","2","Austria","2000","87.86564"
"PFC","2","Austria","1999","79.1829096859275"
"PFC","2","Austria","1998","55.5311426684334"
"PFC","2","Austria","1997","117.471744"
"PFC","2","Austria","1996","80.25417"
"PFC","2","Austria","1995","83.34963"
"PFC","2","Austria","1994","70.956369"
"PFC","2","Austria","1993","63.52011"
"PFC","2","Austria","1992","510.473091"
"PFC","2","Austria","1991","1192.61742216"
"PFC","2","Austria","1990","1182.78680316"
"PFC","3","Belarus","2020","10.6557170985892"
"PFC","3","Belarus","2019","11.1858538909368"
"PFC","3","Belarus","2018","11.8559795227314"
"PFC","3","Belarus","2017","12.5407326163423"
"PFC","3","Belarus","2016","13.2401131717697"
"PFC","3","Belarus","2015","13.9154671136977"
"PFC","3","Belarus","2014","13.9684090101428"
"PFC","3","Belarus","2013","14.4978279745938"
"PFC","3","Belarus","2012","15.0272469390447"
"PFC","3","Belarus","2011","15.5566659034956"
"PFC","3","Belarus","2010","16.0860848679465"
"PFC","3","Belarus","2009","16.6155038323974"
"PFC","3","Belarus","2008","17.1449227968483"
"PFC","3","Belarus","2007","17.6743417612993"
"PFC","3","Belarus","2006","18.2037607257502"
"PFC","3","Belarus","2005","18.680237793756"
"PFC","3","Belarus","2004","18.680237793756"
"PFC","3","Belarus","2003","18.680237793756"
"PFC","3","Belarus","2002","18.680237793756"
"PFC","3","Belarus","2001","18.680237793756"
"PFC","3","Belarus","2000","18.680237793756"
"PFC","3","Belarus","1999","18.680237793756"
"PFC","3","Belarus","1998","18.680237793756"
"PFC","3","Belarus","1997","18.680237793756"
"PFC","3","Belarus","1996","18.680237793756"
"PFC","3","Belarus","1995","18.680237793756"
"PFC","4","Belgium","2020","171.906572516083"
"PFC","4","Belgium","2019","128.269863189704"
"PFC","4","Belgium","2018","131.32087098745"
"PFC","4","Belgium","2017","179.173647634745"
"PFC","4","Belgium","2016","402.737100403212"
"PFC","4","Belgium","2015","143.736706115849"
"PFC","4","Belgium","2014","128.435751095175"
"PFC","4","Belgium","2013","134.925757311551"
"PFC","4","Belgium","2012","115.323610386749"
"PFC","4","Belgium","2011","157.046953996772"
"PFC","4","Belgium","2010","104.767690493802"
"PFC","4","Belgium","2009","457.440751050176"
"PFC","4","Belgium","2008","548.201279739177"
"PFC","4","Belgium","2007","118.219986264436"
"PFC","4","Belgium","2006","113.762842706993"
"PFC","4","Belgium","2005","173.783908420002"
"PFC","4","Belgium","2004","378.58037756552"
"PFC","4","Belgium","2003","259.101322356584"
"PFC","4","Belgium","2002","101.056756156584"
"PFC","4","Belgium","2001","275.840256156584"
"PFC","4","Belgium","2000","446.1100272947"
"PFC","4","Belgium","1999","428.74688744057"
"PFC","4","Belgium","1998","843.866492939303"
"PFC","4","Belgium","1997","1528.91853903915"
"PFC","4","Belgium","1996","2766.91383"
"PFC","4","Belgium","1995","2914.28531"
"PFC","4","Belgium","1994","2637.36937"
"PFC","4","Belgium","1993","2195.90067"
"PFC","4","Belgium","1992","2284.7677"
"PFC","4","Belgium","1991","2096.42035"
"PFC","4","Belgium","1990","2191.04861"
"PFC","5","Bulgaria","2020","0.01036006205722"
"PFC","5","Bulgaria","2019","0.01218830830257"
"PFC","5","Bulgaria","2018","0.0143391862383"
"PFC","5","Bulgaria","2017","0.03073579856605"
"PFC","5","Bulgaria","2016","0.0233131664757"
"PFC","5","Bulgaria","2015","0.0276821474658"
"PFC","5","Bulgaria","2014","0.03288584829846"
"PFC","5","Bulgaria","2013","0.03908750327438"
"PFC","5","Bulgaria","2012","0.0464831354475"
"PFC","5","Bulgaria","2011","0.05530833855"
"PFC","5","Bulgaria","2010","0.063742887"
